"elite_idx","centroid_x","centroid_y","situation_x","situation_y","situation_vec","command","fitness","kind","iteration"
"26","0.023498297728481332","0.08641993192514974","0.02802213406578391","0.08130781013116883","0.02802213406578391,0.08130781013116883","0.14703910825312946,0.11864545296277332,0.20610872615124992,0.7272336771527481,0.05551682722380375,0.1899591356236275,0.09919044595674803,0.24914828740559083,0.6975289995281692,0.1958209003645063,0.3515362979496412,0.12433506308534674,0.21282863897993493,0.24283357776743666,0.5652219915260135,0.5124530420369657","1000","regression","995304"
"41","0.02344226758998058","0.6425381443140611","0.02816175824411038","0.6383034290969757","0.02816175824411038,0.6383034290969757","0.18264634347925707,0.13458925384252235,0.215129512738864,0.8317557906237435,0.5364415945745963,0.18541240925843488,0.10061784779616245,0.2639501308894112,0.6714637978128893,0.4413805732125321,0.36283215430312793,0.15872060615438752,0.2298301274083931,0.2553017518048351,0.6146862199673395,0.6574435295484891","1000","sbx_closest2parent","998572"
"669","0.0230309162857662","0.8601588208637013","0.02911660063443211","0.8494211304261775","0.02911660063443211,0.8494211304261775","0.14758012208104437,0.13589773777410422,0.2077006796381533,0.8150869790103152,0.407579013242999,0.18849937114371354,0.09957431170121392,0.26377321944115845,0.7386236247808038,0.4180423499521898,0.3607361722515313,0.12614418399869198,0.2094160161439647,0.2510797536935389,0.5828955593339362,0.5112614265211614","1000","sbx_closest2parent","999913"
"96","0.011797063495627425","0.32427579453923616","0.029723070091513315","0.3272530979097156","0.029723070091513315,0.3272530979097156","0.16376386014495842,0.1373968722103585,0.21753036261498973,0.821405733681174,0.7244877483561062,0.19128736491610954,0.13229759209477865,0.27127874308535027,0.8375622797042511,0.3178032476387793,0.3872101551178689,0.20233923930501557,0.32301744970797425,0.2551286016488695,0.6232130819839116,0.7029974925750159","1000","sbx_closest2parent","998945"
"1021","0.02615614786570919","0.39431229503903287","0.030585693056905394","0.38636754111101823","0.030585693056905394,0.38636754111101823","0.15978946108415965,0.1389172602030384,0.21613099262522031,0.8247483270930319,0.5096507390240728,0.20371195157857216,0.11452364123264316,0.24966866559224243,0.8434883173292816,0.5364224677129419,0.3459650792876254,0.19727691480596626,0.18410168887517855,0.2544446078304882,0.580293351848254,0.6187668598269737","1000","sbx_closest2parent","999270"
"175","0.043437738655086156","0.5666163427980337","0.03145265558746757","0.5693928510780719","0.03145265558746757,0.5693928510780719","0.15406699522742112,0.13455616185541044,0.2078564772063707,0.7523603473522358,0.4633696249657722,0.187177199237665,0.11261781968509779,0.2513349225556039,0.8056264256439993,0.4693568916628464,0.3605352875919054,0.13035173330119446,0.19078430118316253,0.24949975043818534,0.5266049065108838,0.4622507405325368","1000","sbx_closest2parent","998955"
"1014","0.02019374087448189","0.6972678746984282","0.03218348527971904","0.7124482378254591","0.03218348527971904,0.7124482378254591","0.166194756192005,0.12388595940609329,0.21848135360558027,0.6975029817834564,0.5862032510917202,0.21133092736668635,0.09454377499491662,0.25903421869907395,0.7240543641681234,0.7071352119339767,0.34460548750094017,0.1544454506210121,0.2542675105931696,0.24553065587028414,0.5636619043311882,0.45297746370428676","1000","sbx_closest2parent","998252"
"920","0.024034722590290325","0.539509728952963","0.033387376087485654","0.5454960417943793","0.033387376087485654,0.5454960417943793","0.18689181317060163,0.14250420057632482,0.2162756585169725,0.8566927609369202,0.5592304044408066,0.2102930926251782,0.11528249405745282,0.26645963216752827,0.8238035261905363,0.6062271947194273,0.3633423292073358,0.1540802416728882,0.2620097861503177,0.26136398443357756,0.626239762052096,0.587878645112608","1000","regression","999709"
"639","0.031665663587272186","0.9085140319982137","0.03394220911573953","0.907889098924268","0.03394220911573953,0.907889098924268","0.14061448563896978,0.13216538533614575,0.20952061749046064,0.7245086638219269,0.3643769056685361,0.18065555515329865,0.0942034259678416,0.24842862859027517,0.685492594955388,0.5677998988696116,0.3398047796057635,0.11827045616569787,0.22438976608708625,0.24889223342965575,0.5528060257254578,0.5000454727190229","1000","regression","997947"
"438","0.05119180476522511","0.34145211979476764","0.03557470239812588","0.3296246966445666","0.03557470239812588,0.3296246966445666","0.16149053170613784,0.12953490572522955,0.20527742147525047,0.777415448713394,0.4762451697729032,0.18772914278310163,0.10470992662127329,0.26538559670429984,0.8024262763329146,0.46405467524735367,0.35928077812781967,0.11994790928642952,0.22481540467272887,0.25353160906781286,0.5743182943507648,0.5272992191291397","1000","regression","993792"
"307","0.03946102308484806","0.46125835321496017","0.03587908905217008","0.4560202687777417","0.03587908905217008,0.4560202687777417","0.17986131539355824,0.1339916327532359,0.22875386634873004,0.7386461868317812,0.4658925744961166,0.20880242375632443,0.09757138965203427,0.30457608228894706,0.875806956134574,0.4463318330421543,0.37782399786694065,0.1878958058036196,0.17398221376277323,0.2597068913805557,0.6447823046322273,0.4614002788402946","1000","sbx_closest2parent","998964"
"255","0.04586609148409865","0.306191996206283","0.03608570827427526","0.29009220995195184","0.03608570827427526,0.29009220995195184","0.17637265888771644,0.13645484167258787,0.23272725546400522,0.8394035952293456,0.5384126516167173,0.1929801174500497,0.109891074912677,0.2646244675525753,0.8453737429802113,0.4883700129731396,0.3658879308584169,0.15662801826820394,0.24319285835072116,0.2687952713992607,0.6011040560085394,0.6118098302205045","1000","regression","999569"
"762","0.032643527658114846","0.9648357722944072","0.03682071212348237","0.9504584444523617","0.03682071212348237,0.9504584444523617","0.17481519767323786,0.16882202868899934,0.21949205273833605,0.8485874555614347,0.5600388728645641,0.2015559355306021,0.11238992155295877,0.27815427235803736,0.8027539170259993,0.6509188900974978,0.3579433062646393,0.17015656049055827,0.2544490291195306,0.26653663625513874,0.6131150989616259,0.6148911623611453","1000","regression","999513"
"683","0.03387725267069153","0.10897036126484871","0.037100480272007186","0.09612551273698722","0.037100480272007186,0.09612551273698722","0.15947966900335195,0.126912750186764,0.20528295394552953,0.787794637451555,0.14142740595105785,0.20111602771609116,0.10178089245903756,0.2607553452898498,0.7260870834446226,0.30947487357582903,0.3583877064959434,0.1269043689510409,0.21470061584838737,0.2526216239330825,0.6111450664632673,0.5839591929978527","1000","regression","999735"
"124","0.030415997131900463","0.15282459530850356","0.037807876361853454","0.15362872694139917","0.037807876361853454,0.15362872694139917","0.12681511107451393,0.11283272299488441,0.19227727006084425,0.7169566127567288,0.018679163979430646,0.17463938366202728,0.09417592246147921,0.23663275245656037,0.6989165450815198,0.20982817083440491,0.34849613547781494,0.10087678398391285,0.19625779110583175,0.23983057415107684,0.5504250726586781,0.516067838314614","1000","regression","999600"
"105","0.036813083531197","0.8771844181713315","0.03784736832015223","0.8653904741185517","0.03784736832015223,0.8653904741185517","0.16693964324362626,0.14525043290697284,0.21770653674092952,0.7778370207271058,0.44434021811771657,0.21358824414602817,0.10545232624517976,0.257566869015544,0.7218793142898906,0.5399501902369849,0.34441679952565324,0.11687779074751838,0.22519566967015148,0.24542344561681442,0.5664926740727929,0.5366939565338346","1000","sbx_closest2parent","998289"
