"elite_idx","centroid_x","centroid_y","situation_x","situation_y","situation_vec","command","fitness","kind","iteration"
"1338","0.01593412836163416","0.7629127692744868","0.014314046456321505","0.7560276451450177","0.014314046456321505,0.7560276451450177","1,1,1,1,1,1,1,1,1,1","0.5798264710047756","regression","81754"
"2277","0.013087719811764209","0.655136687920733","0.015090089757628378","0.6510566750174037","0.015090089757628378,0.6510566750174037","1,1,1,0.9950676281705547,1,1,1,1,1,1","0.6028821598979615","regression","92655"
"1067","0.007003987647046905","0.19701802633364746","0.015194891172581326","0.2025141722873839","0.015194891172581326,0.2025141722873839","0.9224473483685431,0.9036463320196818,0.9758492939347536,0.9228858527787676,0.9991787539990616,0.9320900008581011,0.910659026010022,0.9749096879512558,0.9383236823827141,0.9075441536985478","0.5611107316762723","sbx_closest2parent","35627"
"1163","0.008179821770480544","0.7067229252298695","0.015614413674969407","0.708347339510497","0.015614413674969407,0.708347339510497","0.6602156048263035,0.9886375363569897,0.9087800401191498,0.9991948540234993,0.9622090830187664,0.9907918851485433,0.9596359926451823,0.6220143580340989,0.9506584934026685,0.4728722190616115","0.5897184776413668","sbx_closest2parent","58954"
"3034","0.00824581227410165","0.6121428006218692","0.015625882543641167","0.610516524647919","0.015625882543641167,0.610516524647919","0.9800957668043707,1,0.9572272513746068,0.8963972716388665,1,0.9957942127383501,0.9906273087522101,0.9820596532218658,0.9926997580835448,0.9881693445585787","0.6085031294106726","regression","51630"
"3873","0.018557079749915495","0.7283383601772746","0.01615555709190064","0.7269928428500735","0.01615555709190064,0.7269928428500735","0.9972946429211573,0.9999185019446557,0.9937370279895036,0.7398798752457554,0.9836667370898773,0.9138209266524803,0.974642397945488,0.9670773554418874,0.5499681674277237,0.9854481073443108","0.5868679612723363","sbx_closest2parent","77979"
"2653","0.01671173828770245","0.12919597355838713","0.016239072484627637","0.13621176886878916","0.016239072484627637,0.13621176886878916","1,1,1,0.901331010576146,0.4007276102051598,0.48581077795580213,0.6090142721229821,1,1,0.5419885708250632","0.5399578942471196","regression","51958"
"3099","0.008290094132218262","0.5882300343503768","0.01656465433775045","0.5824490720541529","0.01656465433775045,0.5824490720541529","0.8414506023775343,0.8396315748177027,0.8460289505569429,0.704752664657947,0.9148621902042318,0.9403335112029496,0.8302489905657328,0.6628474481337302,0.888133785730555,0.8301195691294385","0.6090828181529107","regression","44794"
"1254","0.012020711955663843","0.16436997669419656","0.01677405184841918","0.1730378485201708","0.01677405184841918,0.1730378485201708","0.7094745799510376,0.8239001068513548,0.7436557465832153,0.6469349327494185,0.745854340342966,0.5862587525441624,0.8294340479726117,0.7531148570791588,0.7501292021784033,0.8200704987925295","0.5513008207479715","regression","58717"
"2579","0.023272967900933028","0.07306756627764238","0.01682391746653944","0.08061450656990043","0.01682391746653944,0.08061450656990043","0.999994546938668,0.9999998034882932,0.9998525170369521,0.9999960835409404,0.9991859193866787,0.9840191573821596,0.9986248292272583,0.9977900366693979,0.9860869876953777,0.9997747687748365","0.5216071232699435","sbx_closest2parent","72532"
"808","0.010933969518307718","0.40989027532425465","0.016933566405046396","0.41455969712328","0.016933566405046396,0.41455969712328","1,1,1,1,1,1,1,1,1,1","0.6093652130058803","regression","51987"
"3625","0.888733710363932","0.10218250682269553","0.017936757435570383","0.39508751944614984","0.017936757435570383,0.39508751944614984","0.44422448315059837,0.0738122944477011,0.6400402669656892,0.6972835908159382,0.1256377467528682,0.640488571399331,0.7923497387122141,0.9080901661579986,0.43200280796190915,0.6748047303076145","0.5996998945947718","random","3625"
"3222","0.010146532001060415","0.6906853021974764","0.018201651213593628","0.6835601810979124","0.018201651213593628,0.6835601810979124","1,1,1,1,1,1,1,1,1,1","0.5990835527090719","regression","80518"
"4245","0.013182669175739126","0.2739775156971439","0.01876511706987183","0.2778308968913178","0.01876511706987183,0.2778308968913178","1,1,1,1,1,1,1,1,1,1","0.5833332644966877","regression","84895"
"705","0.00907100945900019","0.6776124450268723","0.019157966896772516","0.6788925834972575","0.019157966896772516,0.6788925834972575","0.9821622472607352,0.9817669303416415,0.9765236924568818,0.960268340601906,0.9747293713575511,0.9957434402172148,0.9671510900632346,0.9181908787545707,0.9646288882718751,0.9559157437145562","0.5999423857665207","regression","51234"
"318","0.024998552085895243","0.18276264580424606","0.01986819884211599","0.19110073203640532","0.01986819884211599,0.19110073203640532","0.910807731586825,0.9494789467176917,0.9545996647801456,0.8733485269572816,0.9304734930407318,0.8721194935580304,0.9534632373790636,0.9287747332425456,0.9190894410064393,0.9585138693484787","0.5581829070214396","regression","71921"
"490","0.013656415378115183","0.6021451930737158","0.02012769647945345","0.6033426104707417","0.02012769647945345,0.6033426104707417","0.976003781184628,1,0.9510164194600839,0.9618451249975359,1,1,1,1,1,1","0.6122447672404921","regression","50147"
"564","0.012735706202455566","0.5537406065491145","0.020393142876804493","0.5473462913124031","0.020393142876804493,0.5473462913124031","0.9940885720277725,0.9996978533626515,1,0.9941631399934489,0.9998597721267957,0.999967815833595,0.9791576357320728,0.9967468595890312,0.9591016749539929,0.9973087938752159","0.6168056299784361","sbx_closest2parent","69162"
